side,nerve,segment,function,muscle,rank,segID,id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position,preferred_pool
L,Leg,coxa,flex,trochanter_promotor,0,648518346475233889,332,t,L3_T1L,trochanter_promotor_in_coxa,72904975180805852,648518346475233889,[25366 89249  2453],trochanter_flexion
R,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346501300835,373,t,L1_T1R,auxiliary_tibia_flexor_in_femur_Bslow,74171681429788095,648518346501300835,[61648 90977  2725],
L,Leg,trochanter,reductor,femur_reductor,0,648518346499405150,325,t,L2_T1L,femur_reductor_in_trochanter,72482831435430456,648518346499405150,[14230 91313  2528],femur_reductor
L,Leg,femur,flex,auxiliary_tibia_flexor,Bslow,648518346509726921,303,t,L1_T1L,auxiliary_tibia_flexor_in_femur_Bslow,72834675156230769,648518346509726921,[23055 92004  2509],main_tibia_flexor
L,Leg,coxa,extend,trochanter_extensor,Lg,648518346486198114,335,t,L4_T1L,trochanter_extensor_in_coxa_Lg,72904837473346718,648518346486198114,[26335 85449  1934],trochanter_extension
L,Ventral,coxa,flex,trochanter_flexor,Vn,648518346507176223,339,t,V1_T1L,trochanter_flexor_in_coxa_Vn,72834537381811483,648518346507176223,[23983 87237  1874],trochanter_flexion
L,Leg,ltm,claw,ltm,large,648518346494032139,312,t,L1_T1L,ltm_medial_dendrite,72975275272887982,648518346494032139,[26764 87606  2670],ltm
L,Leg,femur,extend,tibia_extensor,seti,648518346480572929,333,t,L4_T1L,tibia_extensor_in_femur_seti,72553200313753006,648518346480572929,[15025 92118  2727],tibia_extensor
L,Ventral,thorax,extend,extracoxal_trochanter_depressor,Vn,648518346466720110,344,t,V5_T1L,extracoxal_trochanter_depressor_in_thorax_Vn,72975275205735565,648518346466720110,[27494 86790  2515],trochanter_extension
L,Leg,trochanter,reductor,femur_reductor,0,648518346484725405,328,t,L2_T1L,femur_reductor_in_trochanter_0,72834674954969986,648518346484725405,[22644 90950  2139],femur_reductor
L,Ventral,thorax,stance,sternal_anterior_rotator_miller_31,0,648518346496721965,347,t,V4_T1L,sternal_anterior_rotator_in_thorax_miller_31,72834537516125224,648518346496721965,[23167 87333  2184],thorax_stance
R,Accessory,thorax,swing,sternal_posterior_rotator_miller_32,0,648518346496568956,348,t,A1_T1R,sternal_posterior_rotator_in_thorax_miller_32,74172437075827522,648518346496568956,[ 63395 114393   2304],
R,Accessory,thorax,swing,sternal_posterior_rotator_miller_32,0,648518346480337622,349,t,A1_T1R,sternal_posterior_rotator_in_thorax_miller_32,74172506130666133,648518346480337622,[ 63084 116459   2863],
R,Accessory,thorax,swing,sternal_posterior_rotator_miller_32,0,648518346484698013,350,t,A1_T1R,sternal_posterior_rotator_in_thorax_miller_32,74102136983590282,648518346484698013,[ 59659 115855   2065],
R,Accessory,thorax,swing,sternal_posterior_rotator_miller_32,0,648518346490341212,351,t,A1_T1R,sternal_posterior_rotator_in_thorax_miller_32,74242874740635376,648518346490341212,[ 64871 116643   2615],
R,Accessory,thorax,swing,pleural_remotor_and_abductor_miller_29,0,648518346493922958,352,t,A4_T1R,pleural_remotor_and_abductor_in_thorax_miller_29,73819700001644126,648518346493922958,[52291 87723  2256],
R,Accessory,thorax,swing,pleural_remotor_and_abductor_miller_29,0,648518346489600015,353,t,A4_T1R,pleural_remotor_and_abductor_in_thorax_miller_29,73960437422964960,648518346489600015,[55720 87565  2151],
R,Accessory,thorax,stance,sternal_adductor_miller_miller_in_thorax_miller_33,0,648518346502341446,354,t,A4_T1R,sternal_adductor_miller_in_thorax_miller_33,73678962714585840,648518346502341446,[47413 87016  2611],
R,Accessory,coxa,flex,trochanter_flexor,AcPst,648518346520515638,355,t,A2_T1R,trochanter_flexor_in_coxa_AcPst,74172506063635619,648518346520515638,[ 62839 114736   2779],
R,Accessory,coxa,flex,trochanter_flexor,AcPst,648518346494047735,356,t,A2_T1R,trochanter_flexor_in_coxa_AcPst,74172437411238510,648518346494047735,[ 63354 114424   2857],
R,Accessory,coxa,flex,trochanter_flexor,Ac,648518346490913569,357,t,A3_T1R,trochanter_flexor_in_coxa_Ac,73889931172615514,648518346490913569,[53952 83831  2023],
R,Accessory,coxa,flex,trochanter_flexor,Ac,648518346499527237,358,t,A3_T1R,trochanter_flexor_in_coxa_Ac,73960437355884126,648518346499527237,[55403 87512  2040],
R,Accessory,coxa,flex,trochanter_flexor,Ac,648518346477553166,359,t,A3_T1R,trochanter_flexor_in_coxa_Ac,73749400111040523,648518346477553166,[50277 89558  2464],
